"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.24toolhub.com/","1","Non-Indexable","Canonicalised","https://24toolhub.com/","","","","","","",""
"https://www.24toolhub.com/tools/sha256-hash.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/tools/sha256-hash.html","","","","","","",""
"https://www.24toolhub.com/tools/temperature-converter.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/tools/temperature-converter.html","","","","","","",""
"https://www.24toolhub.com/cookie-policy.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/cookie-policy.html","","","","","","",""
"https://www.24toolhub.com/index.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/","","","","","","",""
"https://www.24toolhub.com/tools/unix-timestamp.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/tools/unix-timestamp.html","","","","","","",""
"https://www.24toolhub.com/tools/grammar-checker.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/tools/grammar-checker.html","","index, follow","","","","",""
"https://www.24toolhub.com/terms.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/terms.html","","","","","","",""
"https://www.24toolhub.com/tools/uuid-generator.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/tools/uuid-generator.html","","","","","","",""
"https://www.24toolhub.com/tools/mime-type-lookup.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/tools/mime-type-lookup.html","","","","","","",""
"https://www.24toolhub.com/privacy.html","1","Non-Indexable","Canonicalised","https://24toolhub.com/privacy.html","","","","","","",""
